patient	BRCA1	BRCA2
TCGA-AN-A03X	2.0254	1.7053
TCGA-A8-A08R	4.0627	2.3898
TCGA-A2-A0YC	3.4622	1.0847
TCGA-GM-A2DC	2.2603	-1.7809
TCGA-A2-A3XT	2.6325	1.7141
TCGA-AN-A04C	3.8451	0.6425
TCGA-A2-A0YT	3.1765	2.236
TCGA-BH-A1EO	2.8402	1.5854
TCGA-E2-A107	4.0679	1.2271
TCGA-A2-A04W	0.6332	1.3901
TCGA-LD-A74U	1.5165	1.105
TCGA-B6-A0I5	0.434	-1.9942
TCGA-BH-A0RX	1.9786	-0.5125
TCGA-BH-A0DV	1.6374	0.6145
TCGA-GM-A2DO	2.3164	2.1541
TCGA-A2-A0T1	2.5634	0.6969
TCGA-BH-A1ET	2.4117	0.679
TCGA-BH-A0EI	2.9525	1.614
TCGA-E2-A15J	2.6161	0.8082
TCGA-A1-A0SQ	3.0181	0.0158
TCGA-AC-A2QJ	0.5069	-2.5479
TCGA-A7-A26H	3.5875	1.7097
TCGA-E2-A1IL	2.4571	-0.0574
TCGA-AN-A04D	3.2781	-4.2934
TCGA-C8-A27B	3.6382	2.7249
TCGA-AN-A0AS	1.1833	0.4125
TCGA-D8-A4Z1	1.8282	0.03
TCGA-A8-A06R	1.5465	1.4808
TCGA-AO-A1KP	2.6185	2.1606
TCGA-E9-A1RC	3.6172	1.6327
TCGA-A2-A04N	2.296	0.2998
TCGA-BH-A8FY	2.128	-0.9406
TCGA-A8-A09V	3.4713	1.1706
TCGA-GM-A3NY	1.0983	-0.9971
TCGA-BH-A5J0	1.0847	-1.5105
TCGA-B6-A0I6	-1.3183	2.3592
TCGA-AO-A0JI	3.5362	1.7489
TCGA-BH-A18I	2.8301	2.376
TCGA-AO-A0JC	2.3048	1.8801
TCGA-A8-A09Z	1.9149	1.0503
TCGA-E9-A1RH	3.6006	2.8055
TCGA-GM-A2DH	4.2212	2.3423
TCGA-BH-A1ES	2.3788	1.6875
TCGA-PL-A8LY	2.0707	0.0158
TCGA-OL-A5RW	-2.7274	-0.394
TCGA-BH-A18M	3.0876	2.2144
TCGA-E2-A14R	-1.685	2.2299
TCGA-A8-A09M	2.8701	-0.1665
TCGA-A1-A0SN	3.002	1.6512
TCGA-BH-A18F	3.3647	2.5972
TCGA-AR-A2LM	2.7314	0.9716
TCGA-E2-A10C	2.4035	-0.1031
TCGA-AR-A0TW	1.8078	-0.1993
TCGA-BH-A0W5	2.362	1.3735
TCGA-AR-A24K	3.755	1.1117
TCGA-BH-A0HY	2.2482	2.05
TCGA-A2-A0EU	3.3421	1.125
TCGA-D8-A1XW	2.2872	0.8488
TCGA-AN-A0FL	-0.8863	-1.5105
TCGA-PL-A8LZ	2.8622	2.0076
TCGA-LL-A5YP	2.5804	0.8961
TCGA-AC-A2BK	3.3633	1.196
TCGA-AC-A7VB	4.287	1.9749
TCGA-E2-A1IG	3.6254	0.8961
TCGA-AO-A0J2	-1.5522	2.0878
TCGA-BH-A28Q	2.4857	1.0503
TCGA-AC-A2FB	3.4739	1.5064
TCGA-C8-A12L	1.6466	2.4805
TCGA-3C-AALK	1.3623	1.2023
TCGA-E9-A1QZ	3.7667	1.7273
TCGA-AC-A5EH	1.8078	0.7579
TCGA-GM-A2D9	0.4865	-0.0574
TCGA-LD-A66U	1.0711	-2.8262
TCGA-AO-A1KO	1.5563	0.7999
TCGA-AR-A0TP	-1.4305	1.2455
TCGA-A8-A07I	3.1294	2.8661
TCGA-A2-A0EY	2.7161	2.1606
TCGA-LL-A442	3.5299	1.1577
TCGA-A8-A08I	3.835	0.9935
TCGA-A8-A091	3.0723	1.9564
TCGA-D8-A1XT	2.8994	3.3869
TCGA-BH-A0DG	1.5465	1.4808
TCGA-AR-A2LL	4.0357	1.2023
TCGA-4H-AAAK	2.8582	1.2576
TCGA-3C-AALI	2.9432	1.8762
TCGA-A8-A08P	3.4635	1.0915
TCGA-D8-A1X8	3.1685	1.7053
TCGA-BH-A0E1	3.5584	2.0395
TCGA-S3-A6ZG	3.9552	2.1213
TCGA-AO-A0J5	1.7575	1.2992
TCGA-A2-A0EM	2.2931	0.1124
TCGA-A8-A08T	2.0776	-0.3566
TCGA-S3-AA12	2.9243	1.614
TCGA-HN-A2NL	3.034	1.2147
TCGA-AO-A12A	2.4008	1.5758
TCGA-A2-A0YM	2.376	2.6114
TCGA-E2-A9RU	1.9564	-0.3566
TCGA-C8-A130	3.9185	1.5854
TCGA-E2-A1B4	0.6425	-0.3383
TCGA-LL-A73Z	1.7141	0.1648
TCGA-C8-A1HI	1.7097	-0.3566
TCGA-LL-A6FR	1.4281	-2.8262
TCGA-PL-A8LV	2.8994	1.3511
TCGA-A8-A07E	2.2813	1.5115
TCGA-E9-A247	3.4517	1.8762
TCGA-A2-A3XZ	2.4857	1.4335
TCGA-A8-A07F	3.9561	2.1798
TCGA-B6-A0RN	1.0293	-1.8314
TCGA-LD-A7W5	1.4011	1.2455
TCGA-BH-A0BL	3.0481	2.4649
TCGA-AN-A0XV	2.496	1.5165
TCGA-A7-A4SB	2.3451	0.7146
TCGA-AN-A0XU	-0.2159	3.3521
TCGA-A7-A6VV	3.1028	1.6281
TCGA-E2-A1LI	3.1179	2.8701
TCGA-B6-A0WS	3.5473	1.5115
TCGA-C8-A138	1.5165	1.7995
TCGA-A7-A426	1.0915	-0.1665
TCGA-A7-A56D	-0.2845	-2.1779
TCGA-A8-A07B	1.787	-0.0877
TCGA-A8-A086	3.8391	0.605
TCGA-BH-A1FU	2.0147	2.1047
TCGA-B6-A0RI	3.6335	2.3843
TCGA-E2-A1B6	1.9415	1.2209
TCGA-E9-A1N4	2.9356	1.7446
TCGA-OL-A66O	2.6067	-1.1172
TCGA-A7-A6VY	-0.4921	1.4652
TCGA-GM-A2DA	0.605	0.1124
TCGA-B6-A0I1	2.5756	-1.2142
TCGA-D8-A141	2.5313	1.2085
TCGA-BH-A0H9	3.0323	1.6045
TCGA-BH-A18T	3.7888	3.3264
TCGA-BH-A0BD	3.4197	1.9527
TCGA-OL-A5RU	1.4704	0.2642
TCGA-C8-A12T	2.296	1.7912
TCGA-A7-A0DA	2.328	1.2271
TCGA-A2-A25C	4.1392	1.7575
TCGA-E2-A14V	3.4183	2.7007
TCGA-BH-A0HP	1.5415	1.3283
TCGA-B6-A0I8	2.4623	-0.8599
TCGA-E2-A1L7	1.7316	3.2143
TCGA-E9-A1N8	3.5212	1.8282
TCGA-A8-A085	3.7699	-0.5125
TCGA-AR-A0U0	3.6486	2.5137
TCGA-A7-A0CE	4.0549	-3.0469
TCGA-C8-A12Y	1.787	-2.2447
TCGA-AC-A2BM	3.4752	1.6234
TCGA-BH-A0E0	1.8918	-1.7322
TCGA-E2-A15G	2.7357	1.125
TCGA-D8-A146	1.9968	0.688
TCGA-C8-A12U	2.6533	1.9786
TCGA-B6-A0WT	3.8013	3.0706
TCGA-D8-A27M	1.3846	1.9638
TCGA-A8-A081	4.7231	2.4857
TCGA-AO-A03O	3.2885	0.9191
TCGA-E2-A15L	3.7324	2.4439
TCGA-E2-A15H	2.3536	1.5366
TCGA-A8-A093	3.1278	0.3115
TCGA-BH-A18S	2.8055	-0.2671
TCGA-AR-A1AO	1.9895	2.0946
TCGA-AC-A23G	2.0742	-0.4921
TCGA-AR-A24Z	4.096	2.4883
TCGA-D8-A145	2.5163	1.3679
TCGA-BH-A42V	1.5514	-0.0277
TCGA-D8-A1XB	3.6872	2.0742
TCGA-A2-A0YL	2.5756	0.5763
TCGA-A7-A5ZX	1.2756	-0.9971
TCGA-EW-A1P7	1.6512	0.5859
TCGA-AR-A5QQ	3.3206	-0.1504
TCGA-S3-AA15	1.3791	1.2756
TCGA-AR-A24M	2.9507	1.7995
TCGA-A2-A0EW	1.884	0.8726
TCGA-EW-A1J3	3.325	2.0535
TCGA-EW-A1P3	2.5188	1.0642
TCGA-BH-A1FD	2.6487	2.2813
TCGA-EW-A424	1.8879	0.4125
TCGA-E2-A2P5	2.1862	0.4016
TCGA-A2-A259	1.1512	1.0151
TCGA-E2-A1B1	2.4701	2.7657
TCGA-A7-A3J0	3.1844	1.614
TCGA-AR-A2LR	3.47	3.0038
TCGA-A2-A0ES	2.0395	1.412
TCGA-EW-A1P8	3.287	2.7993
TCGA-AR-A0U4	2.0111	1.683
TCGA-A8-A08C	2.2603	0.7146
TCGA-LL-A7T0	3.6136	0.3796
TCGA-A7-A13D	2.0546	1.46
TCGA-EW-A1OZ	1.9073	1.5266
TCGA-A2-A1FX	4.3371	2.8137
TCGA-E2-A10F	2.9167	1.7786
TCGA-A7-A4SD	2.7805	1.7912
TCGA-E2-A1B5	0.4233	1.6234
TCGA-BH-A0DE	2.7508	0.6969
TCGA-AO-A0JM	2.4063	2.5087
TCGA-E2-A14P	3.8441	2.7721
TCGA-E9-A227	2.1509	0.4447
TCGA-AR-A2LH	2.376	0.8805
TCGA-A8-A07O	3.8581	1.177
TCGA-A2-A0D3	1.884	0.8961
TCGA-AO-A0JA	2.6556	1.7786
TCGA-A2-A4S0	2.5437	-0.2671
TCGA-B6-A0IE	0.2998	-0.5125
TCGA-OL-A66J	1.412	-0.2671
TCGA-D8-A1JI	3.1971	-0.013
TCGA-OL-A5RX	1.4335	-0.0574
TCGA-EW-A1OY	2.7615	0.03
TCGA-AR-A5QM	2.2693	0.547
TCGA-A2-A0CQ	1.8078	-0.6416
TCGA-BH-A0BA	2.9747	2.2237
TCGA-D8-A27F	0.058	2.609
TCGA-C8-A26Z	3.1876	1.8078
TCGA-E2-A14S	3.1604	1.46
TCGA-A8-A06O	3.9506	1.6604
TCGA-D8-A1JM	3.1637	1.9452
TCGA-C8-A1HO	2.1313	1.3109
TCGA-E9-A228	4.1244	2.8681
TCGA-E9-A1RA	2.3843	-0.0877
TCGA-V7-A7HQ	0.8726	-2.3147
TCGA-OL-A6VR	2.1313	0.058
TCGA-AR-A1AW	2.5388	1.4756
TCGA-AR-A1AY	3.8126	1.9931
TCGA-BH-A0H6	1.8604	0.517
TCGA-EW-A1OV	2.0912	1.642
TCGA-A2-A04U	5.1635	0.3115
TCGA-D8-A1JF	2.1541	2.0218
TCGA-OL-A6VQ	2.2237	1.4962
TCGA-C8-A273	2.4279	1.1382
TCGA-C8-A132	2.4359	1.7912
TCGA-BH-A0EE	1.9822	2.2391
TCGA-B6-A0RQ	1.8078	-0.2328
TCGA-D8-A27W	3.833	1.6234
TCGA-AR-A2LJ	0.9862	-1.5105
TCGA-A8-A075	2.5658	2.8622
TCGA-A1-A0SD	2.2603	0.4552
TCGA-A2-A3Y0	2.2901	0.0014
TCGA-EW-A6SD	2.236	1.6466
TCGA-E2-A14W	2.9032	-1.1488
TCGA-LQ-A4E4	2.6805	0.8726
TCGA-AR-A256	3.0619	2.8199
TCGA-A2-A0T3	3.8621	2.9032
TCGA-BH-A0HN	1.1447	-1.4699
TCGA-A7-A26G	2.3019	1.6374
TCGA-AN-A0FV	2.4597	2.0673
TCGA-A7-A0CD	4.2017	0.434
TCGA-BH-A208	0.3907	1.1316
TCGA-BH-A1F6	2.4171	1.4547
TCGA-AR-A1AU	2.7784	1.1117
TCGA-AR-A24X	3.1426	1.5366
TCGA-B6-A0IO	2.5061	0.9862
TCGA-E2-A1IE	3.8421	0.9191
TCGA-AN-A0AJ	3.7846	1.5064
TCGA-AO-A128	3.6148	2.3788
TCGA-AR-A24T	2.8137	0.4125
TCGA-A2-A0CT	3.8857	1.3225
TCGA-BH-A1F2	2.6828	2.828
TCGA-D8-A1J9	2.328	1.6604
TCGA-E2-A150	2.753	1.3956
TCGA-AR-A251	4.1086	1.7009
TCGA-BH-A0B1	3.1876	1.4808
TCGA-D8-A1JE	3.3675	2.7227
TCGA-A2-A0CP	-0.1031	-0.6873
TCGA-C8-A274	3.1028	1.2455
TCGA-BH-A5IZ	3.506	0.8408
TCGA-A8-A076	2.3592	1.3511
TCGA-B6-A40B	2.0076	-0.4131
TCGA-AR-A0U2	5.1772	3.6077
TCGA-B6-A0IH	1.6875	-0.0877
TCGA-D8-A27K	2.8482	1.6466
TCGA-E9-A5FK	-0.1993	-2.2447
TCGA-EW-A1PB	-0.3022	1.6558
TCGA-BH-A0E9	2.5536	0.7832
TCGA-A1-A0SE	2.9432	1.0079
TCGA-E9-A1NH	1.5266	1.1833
TCGA-EW-A2FW	4.7066	2.1766
TCGA-AO-A0JD	2.7336	3.5374
TCGA-A7-A3IY	1.3225	-1.3183
TCGA-AO-A0J8	2.409	0.9493
TCGA-A7-A3IZ	3.4958	1.5998
TCGA-A2-A1G0	3.1145	0.3346
TCGA-D8-A1XZ	2.5413	2.3843
TCGA-AR-A0TY	2.6602	2.7572
TCGA-A2-A0SW	1.4388	-0.0574
TCGA-OL-A5DA	2.0946	-0.2498
TCGA-A7-A5ZV	2.3479	-0.4521
TCGA-LL-A50Y	1.5758	-1.8836
TCGA-BH-A0BP	1.0711	0.5763
TCGA-AR-A1AK	3.4291	0.9038
TCGA-E9-A22G	2.5996	1.8242
TCGA-AC-A2QH	0.9464	0.7579
TCGA-LL-A441	2.4649	1.692
TCGA-A8-A0A2	2.2082	0.0158
TCGA-E2-A576	2.3394	-1.3548
TCGA-B6-A1KC	3.2856	-0.2159
TCGA-OL-A66N	0.5763	-1.8836
TCGA-A2-A1FV	3.0181	0.24
TCGA-C8-A1HM	4.4588	3.1294
TCGA-D8-A1JT	3.1876	1.2636
TCGA-A2-A04P	-2.2447	-0.0574
TCGA-BH-A0GY	1.816	1.5612
TCGA-E2-A56Z	2.5188	-1.1488
TCGA-A7-A13E	2.3714	1.2272
TCGA-E2-A1LS	-0.4325	-0.4325
TCGA-A2-A0CX	1.9111	1.7532
TCGA-A8-A07S	3.5035	0.9115
TCGA-BH-A1FM	2.4063	2.3564
TCGA-A1-A0SM	1.3567	0.4447
TCGA-AQ-A04H	3.8279	1.7786
TCGA-LL-A6FP	-0.013	-2.6349
TCGA-A2-A0T5	2.5388	0.688
TCGA-A7-A4SF	2.8502	1.3051
TCGA-A2-A25B	2.0878	2.8076
TCGA-E2-A1IO	2.561	0.5271
TCGA-A2-A3XW	1.0222	-2.9324
TCGA-A1-A0SI	2.6579	1.7185
TCGA-B6-A0RP	2.0289	-0.3022
TCGA-AQ-A04L	0.9862	-0.1665
TCGA-E2-A14N	0.8647	2.7508
TCGA-AN-A049	3.0515	1.9073
TCGA-A1-A0SB	2.7805	2.2019
TCGA-BH-A0GZ	2.0673	0.4761
TCGA-BH-A0DP	2.5561	0.605
TCGA-AC-A2QI	2.0946	0.3685
TCGA-5L-AAT1	1.334	-0.5332
TCGA-A8-A06N	3.5498	1.3679
TCGA-BH-A8G0	1.7009	0.8883
TCGA-A2-A0T6	2.2082	0.0718
TCGA-AN-A0FF	2.9071	1.7744
TCGA-E2-A15I	2.6693	1.5266
TCGA-LL-A5YL	1.884	-0.7108
TCGA-C8-A26X	1.2696	0.2642
TCGA-AN-A0FD	1.2516	0.2998
TCGA-AN-A0AK	3.8461	2.5061
TCGA-D8-A1JS	0.9343	-1.6394
TCGA-AO-A1KS	3.8571	4.0073
TCGA-AR-A24U	2.2051	2.4597
TCGA-AR-A1AX	2.7847	2.0569
TCGA-BH-A0C3	3.1011	0.7832
TCGA-AC-A62Y	1.334	-1.3183
TCGA-D8-A1JD	3.3076	-0.8599
TCGA-S3-AA0Z	3.9478	2.6693
TCGA-E9-A1N3	2.8974	1.7912
TCGA-A2-A0T2	0.5859	-1.0262
TCGA-BH-A0B5	3.652	3.2707
TCGA-LL-A9Q3	0.7233	-0.394
TCGA-BH-A18N	3.1327	1.5612
TCGA-D8-A27R	3.5174	1.105
TCGA-AO-A0J9	0.9115	-0.7834
TCGA-E9-A1N5	2.9765	1.6875
TCGA-BH-A209	2.7292	3.0446
TCGA-E2-A1AZ	3.8075	2.8799
TCGA-AN-A0FK	2.6984	1.177
TCGA-A2-A0YI	1.6045	0.5568
TCGA-D8-A1XO	3.0181	2.0535
TCGA-D8-A27G	2.3898	1.7828
TCGA-AR-A0TT	2.5536	2.1766
TCGA-A8-A0A4	3.417	1.8119
TCGA-D8-A1X7	3.1062	1.9968
TCGA-AC-A3OD	1.3967	0.1362
TCGA-E2-A1LA	2.8096	-2.114
TCGA-A8-A095	4.4013	1.816
TCGA-D8-A143	4.3097	1.0433
TCGA-A2-A0YE	3.4609	2.651
TCGA-A2-A0D2	0.7321	1.1512
TCGA-AC-A3YI	0.6332	0.1776
TCGA-A8-A07Z	2.909	1.1382
TCGA-AN-A0FT	0.605	-0.3383
TCGA-A2-A0YF	3.6793	2.5585
TCGA-BH-A0DS	0.9789	-0.3752
TCGA-E9-A1R5	2.9338	1.0222
TCGA-E9-A243	0.9038	1.7141
TCGA-A2-A25D	1.4174	0.7407
TCGA-E2-A159	3.5387	2.0465
TCGA-A8-A0A7	1.5115	0.5955
TCGA-B6-A0X5	4.4634	2.1638
TCGA-B6-A0RE	2.1638	1.5115
TCGA-A2-A0CY	0.3231	-1.0862
TCGA-JL-A3YX	3.0252	2.1345
TCGA-AC-A3QP	1.3051	-1.4305
TCGA-EW-A1PH	3.0893	2.0638
TCGA-BH-A0DH	2.5213	0.2277
TCGA-E9-A22H	4.0313	2.004
TCGA-D8-A3Z6	1.8918	-0.5973
TCGA-E2-A155	2.7051	1.884
TCGA-B6-A0X1	4.6142	3.3221
TCGA-PE-A5DE	2.1957	0.7321
TCGA-A8-A07U	2.5731	1.6281
TCGA-A1-A0SP	3.3605	1.736
TCGA-S3-A6ZH	4.4667	1.9452
TCGA-A2-A3XU	2.0183	-1.2142
TCGA-A1-A0SH	1.8323	0.4016
TCGA-E2-A1LB	1.7954	1.105
TCGA-BH-A0AV	0.2881	2.004
TCGA-A2-A0D0	2.6255	1.9264
TCGA-A8-A08S	3.1011	1.7185
TCGA-EW-A2FR	2.4035	1.4652
TCGA-C8-A133	1.9601	-0.013
TCGA-A2-A3XY	2.3926	2.1411
TCGA-EW-A3E8	2.0673	1.0915
TCGA-A2-A0SU	2.3308	-0.8863
TCGA-C8-A1HE	3.2143	1.7141
TCGA-B6-A0RM	3.242	1.5115
TCGA-AQ-A0Y5	1.5661	1.1897
TCGA-5L-AAT0	2.0878	1.0503
TCGA-AR-A1AI	3.4224	2.4008
TCGA-D8-A3Z5	1.683	-0.7346
TCGA-GM-A2DN	2.7227	1.3735
TCGA-B6-A1KI	2.3788	-0.0725
TCGA-BH-A0BO	1.8643	0.4125
TCGA-E2-A152	2.1957	0.8568
TCGA-A8-A06T	3.309	-0.0277
TCGA-AC-A2FE	2.3193	1.6045
TCGA-LL-A6FQ	0.7493	-1.8314
TCGA-E9-A248	3.6054	2.3193
TCGA-A7-A26I	2.2995	2.1326
TCGA-C8-A12Q	2.5876	1.8242
TCGA-BH-A0HU	3.5633	1.3901
TCGA-AR-A24V	3.4791	1.0433
TCGA-B6-A0WX	2.7487	0.058
TCGA-D8-A1Y2	2.7161	2.0254
TCGA-AN-A0AR	1.412	2.2783
TCGA-A8-A06P	1.6327	0.5763
TCGA-AC-A62X	2.7508	0.6332
TCGA-AC-A2FO	2.3649	0.517
TCGA-B6-A3ZX	2.496	0.2642
TCGA-D8-A142	2.93	1.412
TCGA-LD-A9QF	2.9262	1.3051
TCGA-BH-A0DX	1.8242	2.2783
TCGA-B6-A0RU	2.9281	2.0325
TCGA-EW-A1J6	1.6374	0.7058
TCGA-E9-A22B	1.9895	0.4233
TCGA-E2-A106	2.6043	-0.4325
TCGA-A1-A0SF	2.0535	0.4865
TCGA-OL-A5RV	2.1574	0.8805
TCGA-E2-A1BC	1.6374	0.6517
TCGA-BH-A0W7	1.683	1.9931
TCGA-E2-A15C	2.2633	0.9115
TCGA-AR-A0U3	3.4291	3.4674
TCGA-BH-A0HW	3.944	1.0915
TCGA-GM-A3NW	1.7229	-1.1811
TCGA-D8-A1XU	1.614	0.6969
TCGA-BH-A0B3	2.6783	2.2299
TCGA-PL-A8LX	1.9822	0.1903
TCGA-B6-A0IN	0.4233	-1.5105
TCGA-A2-A3KC	3.3032	0.4447
TCGA-BH-A0HX	2.5288	0.7999
TCGA-A8-A097	3.8581	0.9935
TCGA-E9-A22E	0.605	0.0014
TCGA-B6-A0IP	2.9839	1.4704
TCGA-A2-A04X	1.7995	0.4447
TCGA-E2-A1IU	2.9071	1.4228
TCGA-AC-A3BB	1.5514	-1.5105
TCGA-A8-A094	1.9749	2.1574
TCGA-C8-A12Z	2.128	2.0218
TCGA-D8-A1XF	4.8012	3.0723
TCGA-A8-A082	4.4189	2.8819
TCGA-AR-A1AL	2.8779	2.1988
TCGA-3C-AALJ	1.787	1.884
TCGA-LL-A440	2.2663	0.4967
TCGA-AR-A2LK	4.6479	2.2603
TCGA-A8-A07G	2.409	0.679
TCGA-AO-A12H	1.177	-0.1187
TCGA-BH-A0DI	1.5806	1.0433
TCGA-BH-A0B7	1.6093	1.334
TCGA-A2-A0EX	1.177	-1.1488
TCGA-D8-A1XR	3.4804	2.5972
TCGA-AR-A0TQ	3.7259	2.6185
TCGA-BH-A18P	3.2766	2.2051
TCGA-E2-A15O	3.9108	2.0325
TCGA-AO-A12C	1.0915	0.5859
TCGA-OL-A97C	1.9712	0.9789
TCGA-BH-A18G	0.6608	0.5271
TCGA-B6-A0IA	1.6649	-0.0725
TCGA-A8-A090	4.576	1.8722
TCGA-5T-A9QA	3.3842	1.1316
TCGA-AN-A0XT	1.934	0.9716
TCGA-AO-A0J4	0.2522	2.6278
TCGA-A2-A0YK	1.5165	1.3623
TCGA-A8-A09K	2.6067	1.5266
