patient	BRCA1	BRCA2
TCGA-AN-A0FW	1.3167	0.7233
TCGA-AC-A6IX	1.6785	0.537
TCGA-A2-A04Y	1.9675	0.7407
TCGA-E2-A156	3.4075	1.4065
TCGA-AR-A24R	3.2915	2.5213
TCGA-D8-A1JP	3.3814	0.8568
TCGA-E2-A1IK	1.8201	-0.4521
TCGA-AN-A0FS	2.4465	-0.7346
TCGA-AC-A3TM	1.6466	-1.3921
TCGA-C8-A12K	3.1045	2.945
TCGA-AR-A2LE	2.1444	0.044
TCGA-BH-A0HK	1.3454	0.4865
TCGA-AR-A250	3.4739	1.614
TCGA-D8-A1JG	2.561	1.5266
TCGA-C8-A134	-0.1504	3.5982
TCGA-AN-A0FX	1.4704	1.4388
TCGA-AC-A62V	2.1147	-1.0559
TCGA-GM-A3XN	1.412	-0.0277
TCGA-C8-A275	2.3423	3.2856
TCGA-AO-A129	0.6239	1.3454
TCGA-BH-A1F8	3.7039	2.1476
TCGA-D8-A1JK	2.7826	0.9115
TCGA-A8-A08X	2.3564	2.9469
TCGA-AR-A2LN	1.884	-0.9132
TCGA-A8-A09A	2.8916	1.0642
TCGA-E2-A1IJ	2.1247	1.1316
TCGA-A8-A08O	3.6184	1.4704
TCGA-A2-A4RY	1.5612	-0.0574
TCGA-A2-A0SY	1.7403	0.605
TCGA-AC-A8OP	2.0673	-0.0277
TCGA-EW-A1PA	2.2268	1.5316
TCGA-AO-A126	1.0915	-1.8314
TCGA-AO-A0J6	3.7116	1.6327
TCGA-EW-A6SB	0.7058	-0.0574
TCGA-EW-A2FV	1.9822	2.2573
TCGA-AO-A03R	1.8683	0.7493
TCGA-E9-A54X	2.0673	0.2029
TCGA-AO-A0JB	-2.6349	-2.7274
TCGA-AC-A3W5	2.0218	0.7321
TCGA-A7-A13G	2.2579	0.8049
TCGA-AR-A1AS	3.3911	1.2085
TCGA-C8-A1HJ	2.4985	2.8974
TCGA-D8-A1Y1	3.6566	2.0569
TCGA-BH-A0DD	4.5964	3.0995
TCGA-A2-A0EN	1.5115	0.7058
TCGA-E9-A1R2	3.417	-0.2671
TCGA-A8-A08L	3.3278	0.679
TCGA-A7-A3RF	1.4962	-0.3022
TCGA-A2-A0D4	4.0091	1.9601
TCGA-EW-A1IW	4.2669	3.0533
TCGA-AO-A03M	2.4008	2.0878
TCGA-B6-A0IQ	2.4412	1.5758
TCGA-BH-A1EW	3.7539	2.5437
TCGA-BH-A1FG	1.816	-0.2671
TCGA-AR-A0TS	1.692	3.2617
TCGA-A2-A0CM	2.9243	2.7073
TCGA-A8-A06X	2.4008	2.0218
TCGA-D8-A140	2.5061	0.4447
TCGA-E9-A1R6	3.8719	0.2154
TCGA-A2-A0CZ	0.6969	-1.0559
TCGA-BH-A1FE	4.0662	2.2633
TCGA-AN-A0XS	2.3981	1.1512
TCGA-A2-A04Q	1.8323	0.4761
TCGA-WT-AB41	0.7999	-1.2481
TCGA-BH-A0BV	3.3105	1.5514
TCGA-AC-A5XS	1.7912	-0.3201
TCGA-E2-A109	3.906	2.1606
TCGA-B6-A1KF	2.5511	1.674
TCGA-BH-A1FL	3.4868	1.7446
TCGA-E9-A1NI	2.9032	1.8078
TCGA-A8-A07R	3.2841	-0.3752
TCGA-AN-A03Y	2.7117	0.9419
TCGA-BH-A0C1	2.7095	1.736
TCGA-BH-A1FH	1.3956	0.8164
TCGA-E2-A572	0.3685	-2.3884
TCGA-A8-A08H	2.7139	2.1047
TCGA-JL-A3YW	2.496	0.7916
TCGA-AN-A0XN	1.884	0.9191
TCGA-A1-A0SK	4.3299	3.8827
TCGA-AO-A125	1.766	0.7146
TCGA-PE-A5DC	2.8178	-2.3884
TCGA-E9-A3X8	0.0854	-2.7274
TCGA-BH-A0AU	3.6669	1.7828
TCGA-GM-A2DB	1.2455	-1.5522
TCGA-E9-A244	0.6425	1.3956
TCGA-A8-A0AB	4.3024	0.605
TCGA-A2-A3XV	1.7828	-1.8836
TCGA-AN-A04A	1.3167	0.1648
TCGA-E2-A14O	2.8158	0.1257
TCGA-A2-A0T7	2.9765	1.2992
TCGA-A7-A0D9	2.2144	0.9642
TCGA-GM-A3XL	-1.0262	1.4911
TCGA-AO-A0JJ	2.8076	1.3454
TCGA-A2-A0CV	0.8488	-0.3022
TCGA-AN-A046	1.4962	0.1903
TCGA-D8-A1X6	3.6077	1.8879
TCGA-EW-A3U0	2.3135	0.8883
TCGA-AO-A0JF	2.0878	0.4657
TCGA-A2-A0T0	2.824	0.2998
TCGA-BH-A0EA	1.595	0.2277
TCGA-D8-A147	4.3772	1.6187
TCGA-E9-A54Y	2.59	-1.5105
TCGA-LL-A5YN	0.6969	-1.5522
TCGA-C8-A26Y	3.7825	2.2931
TCGA-AN-A0FJ	2.4198	-0.3201
TCGA-BH-A1EV	3.3321	3.7193
TCGA-AO-A03V	1.4494	0.8408
TCGA-B6-A0IK	3.011	2.2901
TCGA-E2-A15E	2.6715	0.6239
TCGA-E2-A15D	2.5137	1.5902
TCGA-E9-A1RB	3.7138	1.8078
TCGA-AO-A1KR	1.3454	-1.3183
TCGA-BH-A18H	1.5064	1.125
TCGA-BH-A0HF	1.8404	-0.0574
TCGA-C8-A12M	2.4386	0.605
TCGA-C8-A26V	2.4279	1.5612
TCGA-B6-A1KN	2.8055	2.0183
TCGA-A7-A4SA	0.3115	0.3231
TCGA-E2-A15S	4.3256	0.6239
TCGA-E9-A1RI	3.2112	1.2209
TCGA-GM-A2DI	2.6395	1.3051
TCGA-A8-A09T	3.0252	1.5854
TCGA-D8-A27T	2.4008	0.8082
TCGA-C8-A278	1.9377	1.2209
TCGA-A8-A09C	1.8564	0.5955
TCGA-BH-A18L	4.327	2.4675
TCGA-GM-A2DK	1.8722	-1.0262
TCGA-E9-A22A	1.4065	1.5115
TCGA-AC-A3YJ	0.9419	-1.9379
TCGA-AR-A2LO	3.6089	2.5036
TCGA-AC-A23C	2.1378	2.5413
TCGA-D8-A1XM	3.5374	1.7532
TCGA-BH-A1EU	2.2901	1.642
TCGA-PE-A5DD	1.3454	0.0718
TCGA-WT-AB44	-1.3183	-3.3076
TCGA-C8-A8HR	2.7847	0.1257
TCGA-A2-A0YG	3.7971	2.3193
TCGA-A8-A09G	4.9946	1.3735
TCGA-EW-A6SA	2.8916	3.0808
TCGA-AC-A8OQ	3.2313	2.4675
TCGA-A1-A0SO	4.717	3.6939
TCGA-E2-A10B	2.8701	1.6558
TCGA-D8-A1XA	3.3605	0.9935
TCGA-AO-A1KQ	3.9938	2.6067
TCGA-A8-A0A6	1.9034	0.547
TCGA-AQ-A04J	0.2998	2.167
TCGA-BH-A0W4	2.826	1.1184
TCGA-D8-A1X5	2.4934	1.5806
TCGA-GM-A3XG	0.7748	-2.7274
TCGA-A2-A4RW	1.5165	0.4552
TCGA-D8-A1XV	2.7139	0.2029
TCGA-D8-A13Y	-1.4699	3.1829
TCGA-AR-A0TU	-0.6643	2.1862
TCGA-BH-A0B0	1.0433	1.196
TCGA-E2-A15P	3.3993	1.3735
TCGA-D8-A1JN	0.099	0.7407
TCGA-BH-A0B8	2.9071	1.2815
TCGA-E9-A1RD	2.8955	1.0642
TCGA-AC-A2FG	2.1766	0.5763
TCGA-A2-A0ET	3.6972	2.3366
TCGA-E2-A15R	4.2795	2.2391
TCGA-A2-A3KD	2.4675	0.8568
TCGA-E9-A1NG	2.6067	1.2516
TCGA-AC-A6NO	3.4424	2.167
TCGA-A8-A08J	2.5388	1.3454
TCGA-A2-A0CO	1.1897	-0.1665
TCGA-AN-A0FZ	2.7972	1.4335
TCGA-A2-A0YD	2.036	0.6699
TCGA-EW-A1J2	2.5852	0.9343
TCGA-C8-A12N	1.6281	0.4016
TCGA-A2-A25F	3.0234	2.1378
TCGA-A8-A0A1	3.38	1.9749
TCGA-D8-A27E	1.8722	-0.3752
TCGA-EW-A1IZ	2.0535	1.2636
TCGA-B6-A0IB	2.5112	-0.0725
TCGA-A8-A08Z	2.7636	2.0878
TCGA-AC-A3QQ	2.3974	1.0275
TCGA-E2-A15T	4.2181	1.7744
TCGA-BH-A0BC	1.5165	-0.6873
TCGA-AR-A0TV	3.8401	1.5758
TCGA-E2-A154	3.7215	2.9243
TCGA-GM-A4E0	0.9716	-1.6394
TCGA-AO-A124	4.3841	2.3843
TCGA-S3-A6ZF	3.6382	1.4547
TCGA-A8-A09D	1.3679	2.043
TCGA-AN-A0XO	2.8502	0.8568
TCGA-BH-A0DQ	2.9784	1.7273
TCGA-A2-A4S3	4.7898	2.6019
TCGA-A2-A0D1	1.7617	-0.1665
TCGA-AO-A0J3	2.2693	1.2576
TCGA-A2-A0ST	2.2019	1.9415
TCGA-E9-A1RE	3.9289	1.8643
TCGA-A2-A25A	2.128	1.1512
TCGA-C8-A1HK	1.5514	1.8722
TCGA-AR-A0TR	2.1345	0.537
TCGA-AC-A2B8	1.9034	1.0779
TCGA-E2-A1LG	2.7007	3.4411
TCGA-A7-A6VW	0.9642	-0.2328
TCGA-AC-A3W7	1.4911	0.3231
TCGA-E2-A1LK	2.1702	0.0718
TCGA-B6-A0RT	1.412	2.5263
TCGA-BH-A0HB	0.6517	-0.3383
TCGA-C8-A3M7	1.642	1.5115
TCGA-D8-A1Y3	3.1278	-0.8084
TCGA-A8-A07C	-0.5543	3.5399
TCGA-A8-A06U	2.9032	1.683
TCGA-GI-A2C9	-0.8599	1.6187
TCGA-D8-A73W	2.004	1.2023
TCGA-E9-A245	2.6962	1.0363
TCGA-B6-A0X0	2.8361	1.0711
TCGA-A8-A06Q	2.6043	2.0638
TCGA-E9-A1R0	2.8858	1.4756
TCGA-B6-A0RO	1.4704	0.4233
TCGA-E9-A1NA	1.5316	1.0503
TCGA-BH-A0DZ	1.5266	1.2333
TCGA-AN-A0XP	2.6208	1.2875
TCGA-EW-A6S9	2.8582	1.1897
TCGA-AQ-A54O	0.9568	-1.4699
TCGA-BH-A0WA	1.7575	2.7357
TCGA-BH-AB28	2.9929	0.9419
TCGA-A8-A09N	2.9469	1.5013
TCGA-E2-A15A	3.945	2.3898
TCGA-E9-A2JT	2.6738	1.7489
